Name                 	Hue Angle 	Saturation 	Intensity 	Red 	Green 	Blue 	Comment
Chicken Breast       	10°       	30%        	100%      	255 	  191 	 178 	Additive primary
Pale Raspberry       	10°       	52%        	100%      	255 	  144 	 122 	Additive primary
Red                  	0°        	100%       	100%      	255 	    0 	   0 	Additive primary, primary examplar
Dark Red             	0°        	100%       	63%       	161 	    0 	   0 	Additive primary
Maroon               	0°        	100%       	40%       	102 	    0 	   0 	Additive primary
Parmesan Cheese      	30°       	35%        	100%      	255 	  210 	 166 	Tertiary
Peanut Butter        	30°       	60%        	100%      	255 	  178 	 102 	Tertiary
Orange               	30°       	100%       	100%      	255 	  128 	   0 	Tertiary, primary examplar
Brown                	30°       	100%       	65%       	166 	   83 	   0 	Tertiary
Dark Brown           	30°       	100%       	37%       	 95 	   47 	   0 	Tertiary
Buff                 	39°       	35%        	100%      	255 	  224 	 166 	Secondary
Turmeric             	44°       	100%       	100%      	255 	  187 	   0 	Secondary, primary examplar
Yellow Ochre         	44°       	100%       	85%       	217 	  159 	   0 	Secondary
Tan                  	44°       	100%       	60%       	153 	  112 	   0 	Secondary
Milk Chocolate       	44°       	100%       	32%       	 82 	   60 	   0 	Secondary
Wheat Ear            	45°       	35%        	100%      	255 	  233 	 166 	Tertiary
Yellow Cheese        	50°       	100%       	100%      	255 	  212 	   0 	Tertiary, primary examplar
Olive Oil            	50°       	100%       	80%       	204 	  170 	   0 	Tertiary
Cane Toad            	50°       	100%       	55%       	140 	  116 	   0 	Tertiary
Cow Dung             	50°       	100%       	28%       	 71 	   60 	   0 	Tertiary
Butter               	60°       	35%        	100%      	255 	  255 	 166 	Subtractive primary
Yellow               	60°       	100%       	100%      	255 	  255 	   0 	Subtractive primary, primary examplar
Wasabi               	60°       	100%       	77%       	196 	  196 	   0 	Subtractive primary
Olive                	60°       	100%       	54%       	138 	  138 	   0 	Subtractive primary
Olive Drab           	60°       	100%       	27%       	 69 	   69 	   0 	Subtractive primary
Champagne            	73°       	35%        	100%      	236 	  255 	 166 	Tertiary
Golden Delicious     	65°       	100%       	100%      	221 	  255 	   0 	Tertiary, primary examplar
Green Grape          	65°       	100%       	78%       	182 	  199 	   0 	Tertiary
Light Kelp           	65°       	100%       	52%       	122 	  133 	   0 	Tertiary
Dark Kelp            	65°       	100%       	26%       	 60 	   66 	   0 	Tertiary
Avacado Flesh        	82°       	38%        	100%      	219 	  255 	 158 	Secondary
Chartreuse           	76°       	100%       	100%      	187 	  255 	   0 	Secondary, primary examplar
Celery               	76°       	100%       	80%       	150 	  204 	   0 	Secondary
Sage                 	76°       	100%       	57%       	106 	  145 	   0 	Secondary
Oak Leaf             	76°       	100%       	27%       	 51 	   69 	   0 	Secondary
Green Cabbage        	90°       	38%        	100%      	207 	  255 	 158 	Tertiary
Green Pea            	83°       	100%       	100%      	157 	  255 	   0 	Tertiary, primary examplar
Basil                	83°       	100%       	77%       	121 	  196 	   0 	Tertiary
Spinach              	83°       	100%       	60%       	 94 	  153 	   0 	Tertiary
Rhubarb Leaf         	83°       	100%       	29%       	 46 	   74 	   0 	Tertiary
Green Hellebore      	110°      	36%        	100%      	178 	  255 	 163 	Additive primary
Granny Smith         	120°      	100%       	100%      	  0 	  255 	   0 	Additive primary, primary examplar
Green                	120°      	100%       	75%       	  0 	  191 	   0 	Additive primary
Green Grass          	120°      	100%       	60%       	  0 	  153 	   0 	Additive primary
Zucchini             	120°      	100%       	31%       	  0 	   79 	   0 	Additive primary
Celadon              	125°      	34%        	100%      	168 	  255 	 175 	Tertiary
Chayote              	147°      	100%       	100%      	  0 	  255 	 115 	Tertiary, primary examplar
Clover               	147°      	100%       	71%       	  0 	  181 	  81 	Tertiary
Shaded Fern          	147°      	100%       	60%       	  0 	  153 	  69 	Tertiary
Cucumber             	147°      	100%       	31%       	  0 	   79 	  36 	Tertiary
Variscite            	139°      	33%        	100%      	171 	  255 	 198 	Secondary
Chrysolite           	158°      	100%       	100%      	  0 	  255 	 161 	Secondary, primary examplar
Light Emerald        	160°      	100%       	70%       	  0 	  178 	 119 	Secondary
Emerald              	160°      	100%       	58%       	  0 	  148 	  99 	Secondary
Brunswick Green      	160°      	100%       	30%       	  0 	   76 	  51 	Secondary
Blue Agave           	152°      	31%        	100%      	176 	  255 	 218 	Tertiary
Verdigris            	166°      	100%       	100%      	  0 	  255 	 196 	Tertiary, primary examplar
Shallow Sea Green    	172°      	100%       	72%       	  0 	  184 	 159 	Tertiary
Broccoli             	172°      	100%       	57%       	  0 	  145 	 126 	Tertiary
Malachite            	172°      	100%       	30%       	  0 	   76 	  66 	Tertiary
Blue Spruce Light    	180°      	31%        	100%      	176 	  255 	 255 	Subtractive primary
Cyan                 	180°      	100%       	100%      	  0 	  255 	 255 	Subtractive primary, primary examplar
Dark Cyan            	178°      	100%       	70%       	  0 	  178 	 178 	Subtractive primary
Blue Spruce Dark     	180°      	100%       	55%       	  0 	  140 	 140 	Subtractive primary
Pthalo Green         	180°      	100%       	29%       	  0 	   74 	  74 	Subtractive primary
Uranus               	200°      	36%        	100%      	163 	  224 	 255 	Tertiary
Turquoise            	194°      	100%       	100%      	  0 	  195 	 255 	Tertiary, primary examplar
Blue Topaz           	190°      	100%       	72%       	  0 	  153 	 184 	Tertiary
Sea Green            	190°      	100%       	60%       	  0 	  127 	 153 	Tertiary
Dark Sea Green       	190°      	100%       	31%       	  0 	   66 	  79 	Tertiary
Powder Blue          	210°      	41%        	100%      	150 	  203 	 255 	Secondary
Azure                	200°      	100%       	100%      	  0 	  170 	 255 	Secondary, primary examplar
Dark Azure           	200°      	100%       	70%       	  0 	  119 	 178 	Secondary
Cobalt Blue          	200°      	100%       	53%       	  0 	   90 	 135 	Secondary
Prussian Blue        	200°      	100%       	34%       	  0 	   57 	  87 	Secondary
Pale Sky Blue        	220°      	35%        	100%      	166 	  195 	 255 	Tertiary
Sky Blue             	220°      	55%        	100%      	115 	  162 	 255 	Tertiary
Delphinium Blue      	214°      	100%       	100%      	  0 	  110 	 255 	Tertiary, primary examplar
Royal Blue           	214°      	100%       	60%       	  0 	   66 	 153 	Tertiary
Dark Royal Blue      	214°      	100%       	40%       	  0 	   44 	 102 	Tertiary
Forget-Me-Not        	235°      	30%        	100%      	179 	  185 	 255 	Additive primary
Corn Flower          	235°      	48%        	100%      	133 	  143 	 255 	Additive primary
Light Blue           	240°      	65%        	100%      	 89 	   89 	 255 	Additive primary
Blue                 	240°      	100%       	100%      	  0 	    0 	 255 	Additive primary, primary examplar
Dark Blue            	240°      	100%       	48%       	  0 	    0 	 122 	Additive primary
Rose De France       	255°      	30%        	100%      	197 	  178 	 255 	Tertiary
Lavender             	255°      	48%        	100%      	165 	  135 	 255 	Tertiary
Dark Lavender        	256°      	68%        	100%      	128 	   82 	 255 	Tertiary
Han Purple           	264°      	100%       	100%      	102 	    0 	 255 	Tertiary, primary examplar
Dioxazine            	264°      	100%       	45%       	 46 	    0 	 115 	Tertiary
Mauve                	268°      	36%        	100%      	206 	  163 	 255 	Secondary
Kunzite              	268°      	58%        	100%      	176 	  107 	 255 	Secondary
Violet               	273°      	100%       	100%      	140 	    0 	 255 	Secondary, primary examplar
Dark Violet          	280°      	100%       	61%       	103 	    0 	 156 	Secondary
Spectral Violet      	280°      	100%       	43%       	 72 	    0 	 110 	Secondary
Lilac                	284°      	36%        	100%      	230 	  163 	 255 	Tertiary
Rose Of Sharon       	286°      	100%       	100%      	196 	    0 	 255 	Tertiary, primary examplar
Purple Daisy         	290°      	100%       	73%       	155 	    0 	 186 	Tertiary
Aniline              	290°      	100%       	59%       	124 	    0 	 150 	Tertiary
Amethyst             	290°      	100%       	40%       	 86 	    0 	 102 	Tertiary
Light Magenta        	300°      	27%        	100%      	255 	  186 	 255 	Subtractive primary
Magenta              	300°      	100%       	100%      	255 	    0 	 255 	Subtractive primary, primary examplar
Dark Magenta         	300°      	100%       	67%       	171 	    0 	 171 	Subtractive primary
Light Purple         	300°      	100%       	54%       	138 	    0 	 138 	Subtractive primary
Purple               	300°      	100%       	33%       	 84 	    0 	  84 	Subtractive primary
Pink Hibiscus        	321°      	32%        	100%      	255 	  173 	 226 	Tertiary
Purple Loosestrife   	316°      	100%       	100%      	255 	    0 	 187 	Tertiary, primary examplar
Shocking Pink        	310°      	100%       	71%       	181 	    0 	 152 	Tertiary
Purple Bougainvillea 	310°      	100%       	55%       	140 	    0 	 117 	Tertiary
Purple Bean          	310°      	100%       	35%       	 89 	    0 	  75 	Tertiary
Light Pink           	338°      	28%        	100%      	255 	  191 	 214 	Secondary
Pink                 	334°      	45%        	100%      	255 	  140 	 190 	Secondary
Dark Pink            	324°      	100%       	100%      	255 	    0 	 153 	Secondary, primary examplar
Prickly Pear         	320°      	100%       	62%       	158 	    0 	 106 	Secondary
Elderberry           	320°      	100%       	40%       	102 	    0 	  68 	Secondary
Baby Pink            	352°      	25%        	100%      	255 	  191 	 200 	Tertiary
Pink Hydrangea       	348°      	44%        	100%      	255 	  143 	 165 	Tertiary
Dragon Fruit         	333°      	100%       	100%      	255 	    0 	 115 	Tertiary, primary examplar
Chinese Strawberry   	333°      	100%       	65%       	166 	    0 	  75 	Tertiary
Red Plum             	333°      	100%       	44%       	112 	    0 	  51 	Tertiary
